Time Bucket (America/New_York),Barn-Mains_A (kWhs),Barn-Mains_B (kWhs),Barn-Mains_C (kWhs),Barn-Clothes Dryer-Dryer (kWhs),Barn-Water Heater-Water Heater (kWhs),Barn-Other-garage lights? (kWhs),Barn-Other-Radon & (kWhs),Barn-Circuit_5 (kWhs),Barn-Circuit_6 (kWhs),Barn-Circuit_7 (kWhs),Barn-Pump-Well  (kWhs),Barn-Heat Pump-Heat Pump (kWhs),Barn-Other-Kitchen Outlets (kWhs),Barn-Other-Master Bedroom (kWhs),Barn-Circuit_12 (kWhs),Barn-Circuit_13 (kWhs),Barn-Circuit_14 (kWhs),Barn-Kitchen-Kitchen Stove (kWhs),Barn-Circuit_16 (kWhs)
02/01/2026 00:00:00,41.0359,30.2786,No CT,0.0000,15.4431,0.0293,0.1093,0.0000,0.0000,0.0055,0.5613,0.0603,16.8405,31.7329,0.9609,0.3660,0.0000,1.0815,0.2840
02/02/2026 00:00:00,42.4904,31.0113,No CT,0.0000,15.6883,0.0301,0.1136,0.0013,0.0184,0.0076,0.5972,0.0628,17.1950,33.1772,0.7222,0.3739,0.1300,1.1434,0.3038
02/03/2026 00:00:00,52.1565,42.8106,No CT,11.2785,13.8760,0.0278,3.7122,0.2126,0.0227,0.0177,0.7798,0.0452,11.7985,23.1377,0.8474,0.3705,1.0414,1.0560,0.7908
02/04/2026 00:00:00,53.0308,50.9758,No CT,4.2448,18.7742,0.0382,1.5867,0.0171,0.0254,0.0180,1.1796,0.0008,2.5345,9.2614,1.6701,0.3459,3.0097,0.8693,0.5728
02/05/2026 00:00:00,50.9738,38.1783,No CT,0.0000,9.0188,0.0176,0.1494,0.0017,0.0232,0.0017,0.7873,0.0000,0.2540,18.1787,1.4163,0.3828,1.3102,0.9839,0.6159
02/06/2026 00:00:00,70.5178,62.5929,No CT,0.0041,15.6342,0.0339,3.8065,0.0007,0.0281,0.0073,1.1661,50.3399,0.2479,10.9004,1.1171,0.3851,1.5436,0.9566,1.2716
02/07/2026 00:00:00,76.5234,80.1946,No CT,0.0055,12.8630,0.0288,0.1513,0.0000,0.0437,0.0000,1.3742,125.8120,0.6476,2.4187,1.9638,0.3935,2.5226,0.6800,1.2237
02/08/2026 00:00:00,87.6558,91.0071,No CT,2.0765,16.4195,0.0404,0.9789,0.0000,0.0819,0.0000,1.5752,142.2225,0.3951,2.2302,1.7275,0.3981,2.7420,0.8157,0.7990
02/09/2026 00:00:00,67.7122,72.3552,No CT,0.0017,8.2306,0.0190,0.1531,0.0001,0.0719,0.0000,1.1732,115.8076,0.4900,2.3204,1.5741,0.4039,2.9355,0.6109,0.8145
02/10/2026 00:00:00,59.5578,65.7408,No CT,0.0010,17.9281,0.0359,0.1347,0.0000,0.1119,0.0000,1.3081,90.1723,2.0248,1.9113,1.7103,0.2829,2.9458,0.5084,0.6743
02/11/2026 00:00:00,49.2388,53.6513,No CT,0.0001,10.8208,0.0210,0.1176,0.0303,0.0464,0.0000,1.0432,77.4586,0.2232,1.9710,1.4604,0.2748,2.5489,0.4095,0.8611
02/12/2026 00:00:00,51.5028,56.6270,No CT,0.0005,13.4864,0.0259,0.1214,0.0000,0.0166,0.0000,1.3095,78.8482,0.3544,1.8378,1.7435,0.2688,3.1389,0.4255,0.9376
02/13/2026 00:00:00,56.3115,62.0967,No CT,0.0686,14.6103,0.0290,0.1315,0.0040,0.0199,0.0001,1.0805,88.5807,0.6266,1.6657,1.3806,0.2748,3.0035,0.4704,0.8734
02/14/2026 00:00:00,49.4314,54.2491,No CT,0.0003,14.8239,0.0277,1.0898,0.0028,0.2536,0.0000,1.0906,71.7181,0.5609,1.2728,1.9145,0.7646,2.9749,0.3852,0.8140
02/15/2026 00:00:00,51.3798,59.1900,No CT,0.0009,18.1896,0.0352,0.1278,0.0017,0.2250,0.0001,1.2961,74.9394,1.3766,1.3600,1.4220,1.5485,2.8995,0.4172,0.7465
02/16/2026 00:00:00,46.3946,51.1461,No CT,0.0004,12.4849,0.0233,0.5286,0.0009,0.2538,0.0000,1.0479,68.4897,0.6555,1.8775,1.8513,0.7410,3.0101,0.3719,0.6730
02/17/2026 00:00:00,46.1382,51.1065,No CT,2.1187,16.6163,0.0312,0.5868,0.0516,0.1777,0.0000,1.0973,60.9359,1.9325,2.3850,1.6065,0.4338,2.7556,0.3466,0.8509
02/18/2026 00:00:00,47.7553,48.8965,No CT,0.7959,11.5448,0.0213,2.8648,0.0214,0.1330,0.0000,0.9672,65.0153,0.8315,2.8090,1.9724,0.2663,3.1060,0.3679,1.1482
02/19/2026 00:00:00,48.7473,54.1733,No CT,0.0006,22.5762,0.0421,0.1859,0.0718,0.1954,0.0000,1.3542,61.1096,2.4212,3.3067,1.5512,0.2481,3.6416,0.3881,0.7401
02/20/2026 00:00:00,32.6020,36.4326,No CT,0.0033,5.4527,0.0128,0.6919,0.1346,0.1641,0.0000,0.5755,49.4617,2.2172,2.1652,1.2182,0.2150,2.4812,0.2646,0.4267
02/21/2026 00:00:00,45.2717,49.8774,No CT,2.2959,9.2929,0.0180,0.9002,0.4207,0.2248,0.0000,0.8282,63.5663,0.8362,2.9535,1.9364,0.2422,4.1076,0.3566,0.9816
02/22/2026 00:00:00,50.5090,53.3179,No CT,0.0004,11.6401,0.0223,2.4767,0.1803,0.2229,0.0000,1.2344,71.9104,1.0389,2.8926,1.5349,0.2510,3.2927,0.4118,0.8452
02/23/2026 00:00:00,49.1579,53.7844,No CT,0.0008,16.5644,0.0317,0.2201,0.1957,0.2376,0.0000,1.0270,68.3292,0.8429,2.9312,1.7559,0.2469,3.4707,0.4104,0.7438
02/24/2026 00:00:00,53.0641,54.3805,No CT,0.0005,13.9107,0.0265,0.0746,0.1629,0.2908,0.0000,1.1323,74.9424,0.8063,5.1987,1.3874,0.2587,2.6917,0.4579,0.6701
02/25/2026 00:00:00,42.0907,45.5455,No CT,0.0002,5.9712,0.0108,0.0598,0.0471,0.2309,0.0000,0.8053,64.9683,2.2717,3.3991,1.7057,0.3051,2.0338,0.3287,0.8714
02/26/2026 00:00:00,44.4769,47.0546,No CT,6.5606,10.0025,0.0184,2.7674,0.0062,0.1487,0.0002,1.0058,53.9000,3.0034,2.6648,1.8397,0.3284,2.3397,0.3279,1.4576
02/27/2026 00:00:00,36.0102,35.9218,No CT,0.0000,4.1494,0.0073,2.2485,0.0000,0.1247,0.0000,0.4413,53.2660,0.1290,2.5985,1.4349,0.3437,2.0631,0.2440,0.4571
02/28/2026 00:00:00,36.0027,36.1491,No CT,0.0002,9.8874,0.0148,4.4929,0.0000,0.0722,0.0004,0.6917,44.1782,0.6070,1.9768,1.3291,0.3320,2.9269,0.2346,0.8226
03/01/2026 00:00:00,44.1194,41.7874,No CT,0.0234,21.7182,0.0259,3.9912,0.0000,0.2164,0.0007,1.2016,41.0521,1.6849,5.7370,1.3188,0.3518,2.6480,0.2470,0.8498
03/02/2026 00:00:00,49.1626,50.5582,No CT,2.1518,7.4321,0.0040,2.6706,0.0021,0.2116,0.0040,0.8448,72.9659,1.2758,1.9982,1.6135,0.3811,2.1393,0.0448,0.9890
03/03/2026 00:00:00,51.2997,53.2973,No CT,0.0501,7.7226,0.0045,2.8654,0.0000,0.1949,0.0024,0.9169,72.5188,4.2523,4.9632,1.6767,0.3770,2.6109,0.1818,1.2808
03/04/2026 00:00:00,36.8227,36.4542,No CT,0.0532,11.9715,0.0052,3.2544,0.0000,0.2017,0.0049,0.7773,38.7465,2.6793,5.4842,1.1797,0.3558,2.8486,0.1100,0.5057
03/05/2026 00:00:00,32.1312,31.1577,No CT,0.0390,10.2572,0.0034,2.4577,0.0000,0.1800,0.0010,0.7274,34.9219,0.4078,4.3315,1.3358,0.3540,2.7833,0.1221,0.8460
03/06/2026 00:00:00,34.5575,35.0920,No CT,0.0336,8.4471,0.0015,2.9683,0.0000,0.2639,0.0007,0.7889,45.1441,0.1704,1.5405,1.3214,0.3575,2.7466,0.4828,0.3876
03/07/2026 00:00:00,36.8861,39.6191,No CT,0.0809,18.8238,0.0058,1.9244,0.0001,0.2685,0.0057,1.0474,35.7751,3.8620,4.4972,1.5104,0.3701,2.9143,0.0195,0.7244
03/08/2026 00:00:00,30.8264,28.0981,No CT,8.7977,13.6208,0.0019,2.9612,0.0030,0.2075,0.0047,0.8203,16.2891,0.5526,4.6817,1.4904,0.3498,2.9294,0.2265,0.6714
03/09/2026 00:00:00,22.8840,23.6738,No CT,2.2232,11.5309,0.0025,1.8476,0.0004,0.1616,0.0026,0.5379,15.2648,1.2275,3.8432,1.2574,0.3486,2.8580,0.1689,0.5368
03/10/2026 00:00:00,19.3264,17.2644,No CT,0.0277,8.1152,0.0014,2.2668,0.0000,0.1444,0.0005,0.3679,10.4807,0.1401,5.0712,1.3986,0.3351,2.7683,0.3479,0.3614
03/11/2026 00:00:00,9.3523,11.0239,No CT,0.0333,10.4914,0.0003,0.5366,0.0000,0.1868,0.0002,0.3840,0.0000,0.0884,1.7802,0.7931,0.2178,1.9309,0.2397,0.1912
