Time Bucket (America/New_York),Barn-Mains_A (kWhs),Barn-Mains_B (kWhs),Barn-Mains_C (kWhs),Barn-Clothes Dryer-Dryer (kWhs),Barn-Water Heater-Water Heater (kWhs),Barn-Other-garage lights? (kWhs),Barn-Other-Radon & (kWhs),Barn-Circuit_5 (kWhs),Barn-Circuit_6 (kWhs),Barn-Circuit_7 (kWhs),Barn-Pump-Well  (kWhs),Barn-Heat Pump-Heat Pump (kWhs),Barn-Other-Kitchen Outlets (kWhs),Barn-Other-Master Bedroom (kWhs),Barn-Circuit_12 (kWhs),Barn-Circuit_13 (kWhs),Barn-Circuit_14 (kWhs),Barn-Kitchen-Kitchen Stove (kWhs),Barn-Circuit_16 (kWhs)
02/01/2026 00:00:00,1.3733,0.9132,No CT,0.0000,0.0000,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.7136,1.3465,0.0287,0.0149,0.0000,0.0362,0.0079
02/01/2026 01:00:00,3.2042,2.8129,No CT,0.0000,3.5667,0.0068,0.0074,0.0000,0.0000,0.0012,0.1591,0.0139,0.7042,1.2805,0.0283,0.0139,0.0000,0.0604,0.0101
02/01/2026 02:00:00,1.8927,1.4971,No CT,0.0000,1.1516,0.0021,0.0050,0.0000,0.0000,0.0002,0.0044,0.0043,0.7035,1.2780,0.0282,0.0175,0.0000,0.0427,0.0083
02/01/2026 03:00:00,1.3047,0.9017,No CT,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.7039,1.2788,0.0278,0.0147,0.0000,0.0350,0.0076
02/01/2026 04:00:00,1.2985,0.8966,No CT,0.0000,0.0000,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.7004,1.2731,0.0279,0.0147,0.0000,0.0349,0.0075
02/01/2026 05:00:00,1.3002,0.9003,No CT,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.7023,1.2766,0.0266,0.0148,0.0000,0.0350,0.0076
02/01/2026 06:00:00,1.4969,1.0789,No CT,0.0000,0.3655,0.0007,0.0041,0.0000,0.0000,0.0001,0.0038,0.0014,0.6918,1.2782,0.0352,0.0148,0.0000,0.0377,0.0078
02/01/2026 07:00:00,1.4081,0.8828,No CT,0.0000,0.0000,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.6814,1.2697,0.1431,0.0178,0.0000,0.0368,0.0077
02/01/2026 08:00:00,1.3086,0.8753,No CT,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0075,0.0000,0.6749,1.2584,0.0509,0.0147,0.0000,0.0350,0.0075
02/01/2026 09:00:00,1.4328,0.9325,No CT,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0002,0.0000,0.6856,1.3493,0.0400,0.0151,0.0000,0.0574,0.0079
02/01/2026 10:00:00,1.3766,0.9006,No CT,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.7021,1.3433,0.0376,0.0150,0.0000,0.0365,0.0079
02/01/2026 11:00:00,1.4056,0.9167,No CT,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0089,0.0000,0.7136,1.3676,0.0370,0.0150,0.0000,0.0370,0.0080
02/01/2026 12:00:00,2.3251,1.8671,No CT,0.0000,1.6982,0.0033,0.0056,0.0000,0.0000,0.0009,0.1599,0.0069,0.7133,1.3416,0.0376,0.0145,0.0000,0.0491,0.0092
02/01/2026 13:00:00,3.0066,2.5412,No CT,0.0000,3.1489,0.0058,0.0070,0.0000,0.0000,0.0008,0.0123,0.0119,0.7172,1.3586,0.0406,0.0173,0.0000,0.0580,0.0101
02/01/2026 14:00:00,1.3735,0.9248,No CT,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.7255,1.3344,0.0386,0.0148,0.0000,0.0360,0.0079
02/01/2026 15:00:00,1.3714,0.9176,No CT,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.7190,1.3266,0.0446,0.0148,0.0000,0.0360,0.0078
02/01/2026 16:00:00,1.3759,0.9065,No CT,0.0000,0.0000,0.0000,0.0038,0.0000,0.0000,0.0000,0.0078,0.0000,0.7050,1.3348,0.0382,0.0147,0.0000,0.0359,0.0079
02/01/2026 17:00:00,1.5596,1.0874,No CT,0.0000,0.3863,0.0007,0.0041,0.0000,0.0000,0.0000,0.0015,0.0015,0.6836,1.3230,0.0409,0.0149,0.0000,0.0382,0.0080
02/01/2026 18:00:00,1.4101,0.8976,No CT,0.0000,0.0000,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.6845,1.3741,0.0392,0.0155,0.0000,0.0368,0.0080
02/01/2026 19:00:00,1.8566,1.3990,No CT,0.0000,0.4833,0.0010,0.0051,0.0000,0.0000,0.0007,0.0158,0.0022,0.6908,1.3616,0.0387,0.0179,0.0000,0.1264,0.0386
02/01/2026 20:00:00,1.4339,0.9835,No CT,0.0000,0.0000,0.0000,0.0043,0.0000,0.0000,0.0000,0.0139,0.0000,0.7026,1.3837,0.0453,0.0150,0.0000,0.0385,0.0524
02/01/2026 21:00:00,3.4764,3.0707,No CT,0.0000,3.9962,0.0076,0.0078,0.0000,0.0000,0.0014,0.1638,0.0157,0.6992,1.3294,0.0312,0.0141,0.0000,0.0650,0.0221
02/01/2026 22:00:00,1.6789,1.2514,No CT,0.0000,0.6465,0.0012,0.0046,0.0000,0.0000,0.0001,0.0025,0.0025,0.7037,1.3257,0.0253,0.0150,0.0000,0.0405,0.0082
02/01/2026 23:00:00,1.3686,0.9251,No CT,0.0000,0.0000,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.7204,1.3421,0.0295,0.0149,0.0000,0.0366,0.0079
02/02/2026 00:00:00,1.3334,0.9217,No CT,0.0000,0.0000,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.7149,1.3119,0.0244,0.0180,0.0000,0.0358,0.0078
