Time Bucket (America/New_York),Barn-Mains_A (kWatts),Barn-Mains_B (kWatts),Barn-Mains_C (kWatts),Barn-Clothes Dryer-Dryer (kWatts),Barn-Water Heater-Water Heater (kWatts),Barn-Other-garage lights? (kWatts),Barn-Other-Radon & (kWatts),Barn-Circuit_5 (kWatts),Barn-Circuit_6 (kWatts),Barn-Circuit_7 (kWatts),Barn-Pump-Well  (kWatts),Barn-Heat Pump-Heat Pump (kWatts),Barn-Other-Kitchen Outlets (kWatts),Barn-Other-Master Bedroom (kWatts),Barn-Circuit_12 (kWatts),Barn-Circuit_13 (kWatts),Barn-Circuit_14 (kWatts),Barn-Kitchen-Kitchen Stove (kWatts),Barn-Circuit_16 (kWatts)
03/11/2026 13:20:10,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:11,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:12,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:13,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:14,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:15,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:16,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:17,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:18,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:19,0.2513,0.3722,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.1652,0.0674,0.0133,0.1460,0.0000,0.0364
03/11/2026 13:20:20,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:21,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:22,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:23,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:24,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:25,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:26,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:27,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:28,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:29,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:30,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:31,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:32,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:33,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:34,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:35,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:36,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:37,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:38,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:39,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:40,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:41,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:42,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:43,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:44,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:45,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:46,0.2541,0.3706,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.1715,0.0640,0.0133,0.1461,0.0000,0.0364
03/11/2026 13:20:47,0.2547,0.3766,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.1727,0.0629,0.0135,0.1465,0.0000,0.0365
03/11/2026 13:20:48,0.2535,0.3744,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.1713,0.0636,0.0132,0.1465,0.0000,0.0365
03/11/2026 13:20:49,0.2533,0.3757,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1710,0.0632,0.0132,0.1463,0.0000,0.0365
03/11/2026 13:20:50,0.2543,0.3740,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.1721,0.0630,0.0132,0.1461,0.0000,0.0366
03/11/2026 13:20:51,0.2541,0.3741,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.1721,0.0635,0.0137,0.1460,0.0000,0.0365
03/11/2026 13:20:52,0.2566,0.3737,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.1741,0.0633,0.0131,0.1467,0.0000,0.0367
03/11/2026 13:20:53,0.2528,0.3745,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1710,0.0630,0.0132,0.1467,0.0000,0.0364
03/11/2026 13:20:54,0.2528,0.3732,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1720,0.0625,0.0133,0.1465,0.0000,0.0365
03/11/2026 13:20:55,0.2533,0.3748,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.1714,0.0624,0.0132,0.1463,0.0000,0.0362
03/11/2026 13:20:56,0.2526,0.3759,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.1711,0.0629,0.0131,0.1459,0.0000,0.0377
03/11/2026 13:20:57,0.2543,0.3729,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1724,0.0627,0.0132,0.1456,0.0000,0.0365
03/11/2026 13:20:58,0.2520,0.3745,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,0.1706,0.0626,0.0133,0.1459,0.0000,0.0365
03/11/2026 13:20:59,0.2551,0.3750,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1732,0.0629,0.0135,0.1456,0.0000,0.0366
03/11/2026 13:21:00,0.2547,0.3675,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1724,0.0633,0.0132,0.1458,0.0000,0.0358
03/11/2026 13:21:01,0.2525,0.3714,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1709,0.0631,0.0134,0.1459,0.0000,0.0372
03/11/2026 13:21:02,0.2534,0.3692,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1712,0.0636,0.0130,0.1463,0.0000,0.0367
03/11/2026 13:21:03,0.2528,0.3692,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1712,0.0636,0.0134,0.1465,0.0000,0.0365
03/11/2026 13:21:04,0.2525,0.3751,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1710,0.0630,0.0133,0.1463,0.0000,0.0358
03/11/2026 13:21:05,0.2547,0.3755,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1725,0.0637,0.0132,0.1464,0.0000,0.0371
03/11/2026 13:21:06,0.2529,0.3744,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1706,0.0631,0.0130,0.1465,0.0000,0.0366
03/11/2026 13:21:07,0.2533,0.3744,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1728,0.0631,0.0135,0.1465,0.0000,0.0365
03/11/2026 13:21:08,0.2529,0.3737,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1697,0.0629,0.0128,0.1472,0.0000,0.0348
03/11/2026 13:21:09,0.2533,0.3731,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1716,0.0630,0.0135,0.1465,0.0000,0.0367
03/11/2026 13:21:10,0.2541,0.3742,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.1707,0.0636,0.0134,0.1465,0.0000,0.0371
03/11/2026 13:21:11,0.2527,0.3763,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.1733,0.0629,0.0137,0.1457,0.0000,0.0366
03/11/2026 13:21:12,0.2540,0.3772,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.1730,0.0625,0.0129,0.1468,0.0000,0.0346
03/11/2026 13:21:13,0.2527,0.3720,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,0.1709,0.0634,0.0136,0.1459,0.0000,0.0374
03/11/2026 13:21:14,0.2519,0.3747,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.1710,0.0626,0.0132,0.1461,0.0000,0.0356
03/11/2026 13:21:15,0.2535,0.3772,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1699,0.0634,0.0132,0.1461,0.0000,0.0372
03/11/2026 13:21:16,0.2522,0.3735,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.1705,0.0630,0.0129,0.1462,0.0000,0.0361
03/11/2026 13:21:17,0.2543,0.3740,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,0.1736,0.0631,0.0133,0.1456,0.0000,0.0373
03/11/2026 13:21:18,0.2527,0.3730,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1712,0.0630,0.0135,0.1461,0.0000,0.0370
03/11/2026 13:21:19,0.2555,0.3738,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.1746,0.0633,0.0138,0.1459,0.0000,0.0366
03/11/2026 13:21:20,0.2536,0.3745,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,0.1711,0.0621,0.0131,0.1466,0.0000,0.0334
03/11/2026 13:21:21,0.2519,0.3732,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,0.1733,0.0626,0.0141,0.1450,0.0000,0.0386
03/11/2026 13:21:22,0.2552,0.3726,No CT,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,0.1744,0.0636,0.0142,0.1449,0.0000,0.0411
03/11/2026 13:21:23,0.2545,0.3727,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1706,0.0630,0.0127,0.1465,0.0000,0.0361
03/11/2026 13:21:24,0.2521,0.3741,No CT,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,0.1736,0.0631,0.0139,0.1454,0.0000,0.0374
03/11/2026 13:21:25,0.2528,0.3732,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1690,0.0647,0.0126,0.1461,0.0000,0.0381
03/11/2026 13:21:26,0.2520,0.3755,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1673,0.0636,0.0127,0.1469,0.0000,0.0347
03/11/2026 13:21:27,0.2534,0.3729,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.1695,0.0646,0.0129,0.1460,0.0000,0.0374
03/11/2026 13:21:28,0.2531,0.3755,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.1745,0.0635,0.0141,0.1445,0.0000,0.0402
03/11/2026 13:21:29,0.2544,0.3762,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.1764,0.0633,0.0136,0.1450,0.0000,0.0379
03/11/2026 13:21:30,0.2544,0.3777,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.1766,0.0634,0.0139,0.1454,0.0000,0.0358
03/11/2026 13:21:31,0.2556,0.3775,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.1759,0.0641,0.0142,0.1448,0.0000,0.0413
